Symbol,Date,Quantity,Borrow Fee,Locate Cost,Borrow Rate,Market Value
AAPL,2024-10-01,1000,45.50,10.00,12.5,175000
TSLA,2024-10-01,500,125.00,25.00,45.0,130000
GME,2024-10-02,2000,350.00,50.00,85.0,42000
AAPL,2024-10-02,1000,46.00,10.00,12.5,175500
TSLA,2024-10-02,500,126.00,25.00,45.0,131000
AMC,2024-10-03,1500,280.00,40.00,65.0,15000
AAPL,2024-10-03,1000,45.50,10.00,12.5,176000
TSLA,2024-10-03,500,127.00,25.00,45.0,129000
GME,2024-10-04,2000,355.00,50.00,85.0,41000
SPCE,2024-10-04,3000,450.00,75.00,95.0,12000
AAPL,2024-10-04,1000,46.00,10.00,12.5,176500
TSLA,2024-10-04,500,125.00,25.00,45.0,132000
AMC,2024-10-05,1500,285.00,40.00,65.0,15500
GME,2024-10-05,2000,360.00,50.00,85.0,43000


